Tickers,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
AAPL,0.00039807757847630174,0.0001291627384535304,0.0002667520630373878,0.00021671926636707432,0.00026745731035346816,0.00014810123339841695,0.0002697742752931184,0.00018953169309727128,0.0001548321361886193,0.00019049688731326875,0.0001837681928909106,0.00019716197506729427,0.0002057830602195913,0.00016652805080298098,0.0001356232989451116,0.000271106838910802,9.381899792885205e-05,0.00017214458055968949,0.00011681909232752961,0.00014005567179781208,0.0001368897388092752,8.840859578407154e-05,0.0002859967382611893,0.0002206202074992162,0.00011340762093321792,0.00012675985902938213,0.00016114048242788016,0.00020907282207039988,7.570177952549328e-05,0.00010365362241945772
AMGN,0.0001291627384535304,0.00025889373239087625,9.495232580159213e-05,0.00012164992839663725,0.00010485514985890244,0.00011353099126847055,0.00010800380340904067,0.00012459551408435662,0.00010686259343147491,9.363901198940861e-05,0.00013052954129699691,0.00011856848798779006,0.00012489973347302972,0.00011011828982986359,0.00010909116017894218,0.00015049332891775493,0.00011021036049236288,0.00011376797114840254,9.08612842055071e-05,9.099945156107174e-05,0.00010910893679174268,0.00010969948010610108,0.0001276098067403509,9.147565837993758e-05,0.0001020986511183876,0.00010496017626385727,0.00013711667713843441,0.00011257793749769196,7.709896966248426e-05,8.203038477407606e-05
AMZN,0.0002667520630373878,9.495232580159213e-05,0.0004978067708017116,0.00016949177358353853,0.00020516339801299188,0.00011192738310053589,0.0003153088031711746,0.00015228049301764475,8.365112866529524e-05,0.00019805318254672511,0.00013945332136398904,0.0001624181945247698,0.0001783855093000067,0.00011063744693620135,9.685928394208473e-05,0.00026144694619189353,5.3417448716848766e-05,0.00012095603548427318,6.793646528606228e-05,9.066532730527373e-05,9.703053642779456e-05,5.0249817283841636e-05,0.00028907133422915196,0.0002039258652603708,7.147640556828695e-05,7.120664780718495e-05,9.624750757233727e-05,0.00016336303662763813,5.262812502215113e-05,9.316217332243427e-05
AXP,0.00021671926636707432,0.00012164992839663725,0.00016949177358353853,0.0005667878480579141,0.00048687597356841567,0.0002917365000051228,0.00023259229097142396,0.00020705459871768464,0.000331352079204055,0.00031603460074670225,0.00033972699541965403,0.00035921481607823044,0.0002274708551777987,0.00028510744447347055,0.00021695334032687094,0.0002681698523525934,0.00010693136373137789,0.00037248887469934293,0.00016837832648191004,0.00019346605825984353,0.00021397465471959174,0.00010045738993857473,0.00021308860010265767,0.0002518364208654238,0.00010628607064369966,0.0002653031336702917,0.00020992418282011512,0.0002910583966921023,0.00010335688870256547,7.462382044252263e-05
BA,0.00026745731035346816,0.00010485514985890244,0.00020516339801299188,0.00048687597356841567,0.001032557292457156,0.00031745930334804083,0.00027414021660042334,0.00021557929918076984,0.0003861853305908615,0.0003513871360193054,0.0003927832367156379,0.00038478161987664557,0.0002690069757219038,0.00033802642103285816,0.00024364877951369405,0.000345425015025319,0.00011037829944299943,0.00038331869260705337,0.00019165942859661922,0.00022892362847725262,0.00021537462558068952,0.00010050956974503398,0.0002345065413346531,0.0003025339282285358,0.00010489524713623493,0.0002896102073190549,0.00022242263373421748,0.00027919052759441777,0.00010486000587594431,7.42313862138025e-05
CAT,0.00014810123339841695,0.00011353099126847055,0.00011192738310053589,0.0002917365000051228,0.00031745930334804083,0.000414433913395984,0.00015081991202325364,0.00016499817102898285,0.0002729794366408122,0.00021212761279545674,0.000333494574092474,0.00026639173537327393,0.000166906493785064,0.00021874683458660875,0.00018472784725209512,0.00020532816316081454,8.813430498346002e-05,0.00026001132319523315,0.0001153923514806831,0.00011707266060594963,0.0002043988439819916,8.612637294411246e-05,0.00013711280517540408,0.0001826483726829276,7.597801352940437e-05,0.00018066363660790673,0.0001335950416326527,0.00017615085259539077,8.827730881566138e-05,6.576208398253067e-05
CRM,0.0002697742752931184,0.00010800380340904067,0.0003153088031711746,0.00023259229097142396,0.00027414021660042334,0.00015081991202325364,0.0006173809339794919,0.00018467222977265035,0.00015613044987847745,0.00021816944335518236,0.00019207892495177626,0.00020467589079366615,0.00021133635188752117,0.00015353515315947653,0.0001345052339147299,0.0002774821732089451,7.277668012658361e-05,0.0001764021504758016,0.00010231139362628816,0.00014478936979348057,0.00012902067333696483,8.421053352890122e-05,0.00030869589478644123,0.0002161020334516597,8.812422402583349e-05,0.0001245228382354039,0.00013881908397342493,0.00022337635324360715,6.437920216354334e-05,8.91623488511424e-05
CSCO,0.00018953169309727128,0.00012459551408435662,0.00015228049301764475,0.00020705459871768464,0.00021557929918076984,0.00016499817102898285,0.00018467222977265035,0.0003054093344281032,0.00016391552357653612,0.00017817928706215146,0.0001901295339655895,0.00018129044897095026,0.00016958660235445424,0.00016521394846454713,0.00016160307063269112,0.00022425164764184122,0.00010470669377366276,0.00017607967301939813,0.00011556999674527088,0.0001307422334306224,0.00015118182851221696,8.971586319800308e-05,0.0001850652605500973,0.0001691483486063672,0.00011195348207452344,0.0001308720181835007,0.00014267491781824949,0.00016750872271144274,8.740598212344521e-05,9.875912450633286e-05
CVX,0.0001548321361886193,0.00010686259343147491,8.365112866529524e-05,0.000331352079204055,0.0003861853305908615,0.0002729794366408122,0.00015613044987847745,0.00016391552357653612,0.0005088813156356657,0.0002241747956837139,0.0003120059253957976,0.000282443991742396,0.00017856629602307585,0.00023010088825852563,0.0001865275818881954,0.0002084931568035309,0.00010174782739561879,0.0002932166664246013,0.0001334609498578135,0.00015958630905777248,0.00016700267447656157,0.00011501174544168353,0.0001466541120646966,0.00017770527621758253,7.15132215891201e-05,0.0002398727591830309,0.00019343282193882841,0.00020198044215718265,9.373974956265697e-05,6.114547725345788e-05
DIS,0.00019049688731326875,9.363901198940861e-05,0.00019805318254672511,0.00031603460074670225,0.0003513871360193054,0.00021212761279545674,0.00021816944335518236,0.00017817928706215146,0.0002241747956837139,0.0004563334547516994,0.00024380226217097394,0.0002525991383872466,0.0001903404894797507,0.0002099922619062585,0.00015134938051217318,0.00023012095347922702,7.718178626453085e-05,0.00024234633299879146,0.00012574948508445847,0.00014524558448611663,0.00016645562851550579,6.345385208915273e-05,0.0001954862983741785,0.0002261072671759317,8.703334740274212e-05,0.00015530234739273192,0.00013173374456647478,0.00021759618480453796,8.63098374182814e-05,7.362087487751294e-05
