Tickers,Return,Risk
MMM,0.00014974190806960053,0.01846003816089169
AOS,0.0005242513289498429,0.018988625434917694
ABT,0.00029068801787190957,0.016466724660390022
ABBV,0.00104206680623542,0.015227714171726001
ACN,0.0004886906957453085,0.018202112825061418
ADBE,0.0005524346354122134,0.02406437087857667
AMD,0.0012192855938091274,0.03267046380052734
AES,0.00021829744461765443,0.024798175551852937
AFL,0.0007193847026660816,0.020063105588136274
A,0.0005811809183777772,0.018495521490915753
APD,0.0002558894912068066,0.01916471434345651
ABNB,-0.00023121793879632424,0.031631671835801116
AKAM,0.00010418010640123043,0.018371207475275653
ALB,0.00036050375054563766,0.03319564637172436
ARE,-6.491200894342963e-05,0.01961101257273812
ALGN,0.00019901464084104425,0.033764550974663125
ALLE,0.0003333385228283525,0.01956835011736059
LNT,0.00020405506354936875,0.015713636508336425
ALL,0.0005806701172346163,0.018457390609237137
GOOGL,0.0007966280688675997,0.0201240463384144
GOOG,0.0008061800531971031,0.020060124099252494
MO,0.0004813307175148829,0.015531175076242541
AMZN,0.0005265044792877038,0.022302707080979558
AMCR,0.00028959588565946603,0.01868482929702929
AEE,0.00016325008771311822,0.0164650035115493
AEP,0.00021412262283160288,0.015509778530236799
AXP,0.0006680506154064236,0.02379785043537323
AIG,0.00041056790665505716,0.025517086928097604
AMT,7.502203008757924e-05,0.01915262283099618
AWK,0.00015567713497488533,0.01740161333700214
AMP,0.001057040108095375,0.024868016121029908
AME,0.0005666123464893591,0.017598225131674555
AMGN,0.0004877584986222594,0.016083767205853135
APH,0.0009270646102996771,0.017581937493117306
ADI,0.0006612960409968505,0.022187740369515898
ANSS,0.00034826970063606133,0.022405689565542446
AON,0.0004835919137942124,0.017004512179791226
APA,0.0003222266073705793,0.047420275638014146
AAPL,0.0012061857515390795,0.019943939832735888
AMAT,0.0011452771756830238,0.029297154345744623
APTV,-0.00012289666207732086,0.03039047128734179
ACGL,0.0008351968676862942,0.021153711257032713
ADM,0.00047939631645554925,0.019422448136299914
ANET,0.0014418995503486798,0.027352591695445377
AJG,0.0009822437496920244,0.01627315588134038
AIZ,0.00043946205499412194,0.01944578776947102
T,6.940193893334445e-05,0.016669743951543522
ATO,0.00022765421729431523,0.015941599678847687
ADSK,0.0004712848908106082,0.024812611548730452
ADP,0.0004631065300937376,0.01753081511424556
AZO,0.0008498298954839889,0.017998595130178725
AVB,0.00017642998425282386,0.018848451328017362
AVY,0.0005729735564479199,0.019575012097724536
AXON,0.0014312537799991976,0.030767826794315382
BKR,0.0005071663104325719,0.028102765735089533
BALL,-0.00016158821142997493,0.020794724205374013
BAC,0.0004001440564216363,0.022325660149633678
BAX,-0.0005923673594850909,0.0188273697359616
BDX,3.34985959393741e-05,0.015513681539252777
BBY,0.0005047234978126092,0.024597828076149422
TECH,0.0003682976626782075,0.02242808118504048
BIIB,-5.597214564001529e-05,0.028472674977076975
BLK,0.000699666540413757,0.019816230410629257
BX,0.0009695883530795868,0.02589832438217571
BK,0.000497007649584269,0.019904133497174216
BA,-0.0005858626968998637,0.032120645366799455
BKNG,0.0005468979824314602,0.023418300374825604
BWA,0.0001909954488588106,0.02370432080091236
BSX,0.000505669173768375,0.01803482683586052
BMY,0.00016507180915947828,0.01436126842648729
AVGO,0.0014879440364792273,0.024530678396242137
BR,0.00046200515344874127,0.016350576140880903
BRO,0.0008586942988795254,0.017004612838295706
BLDR,0.001736252711348918,0.03367710675956195
BG,0.0006228442292248726,0.021081118794635024
BXP,-0.0002443364756917754,0.024614395430630504
CHRW,0.00025880501927710853,0.019165415734795008
CDNS,0.001078992673167578,0.022820040386992674
CZR,-2.8388614062069273e-05,0.04732003712692287
CPT,0.00023842848763422353,0.018445035236561946
CPB,0.0001960997310737067,0.015276568873496297
COF,0.0004846209867546136,0.027758532706578243
CAH,0.0008866815400969674,0.01889380960826703
KMX,1.9159485572073365e-05,0.028581571169421997
CCL,-0.0007611303782700807,0.047252057100875565
CARR,0.001642970697027346,0.023947120734390745
CTLT,0.00011510579337148386,0.030648981761925535
CAT,0.000953113858817245,0.020349544096292548
CBOE,0.000491652240637741,0.017784160900936218
CBRE,0.0006248568216131734,0.024025590906380418
CDW,0.0005692867864535156,0.020500199479453095
CE,0.0001967024579161425,0.02331462079292624
COR,0.0008979992059241493,0.016644742850953423
CNC,0.0004124878197353521,0.02247061207683977
CNP,9.620094807649693e-05,0.02077065518681889
CF,0.0005305818324570222,0.026751369768190765
CRL,0.00033262345600837406,0.024706272308907682
SCHW,0.0004777777372702019,0.024615615483098673
CHTR,-0.00012160087791612817,0.02153100371296365
CVX,0.0003556241653221992,0.022549416468218765
CMG,0.0009544937988197333,0.022308525209090522
CB,0.0005432107314642387,0.018197882401254688
CHD,0.00023288547652011715,0.014513679341147518
CI,0.0007266889341444038,0.021134835385812817
CINF,0.000253893537851102,0.022336735525305088
CTAS,0.0009775662000028884,0.019440412790683655
CSCO,0.00018255367633890351,0.017469009202859567
C,0.00011926942658679884,0.02451525045688662
CFG,0.0003720913140732307,0.02910406236311075
CLX,0.0001089011100379178,0.017130989921270583
CME,0.00013748115089806667,0.017998134383004342
CMS,0.00017401671678918262,0.015531386049041446
KO,0.000337868098853944,0.013122506281564165
CTSH,0.0002406348253853885,0.019817602768698945
CL,0.0003773361235193118,0.012939216243718188
CMCSA,5.6757487718606114e-06,0.01772220542916528
CAG,0.0002153663361512681,0.016105758080939673
COP,0.0007725453659410686,0.028001034830491135
ED,0.00024613875661705364,0.015488385457189505
STZ,0.00017980024155694885,0.01757119814822407
CEG,0.0023793047846834003,0.025557640873329728
COO,0.0002483136219877391,0.018643508766183727
CPRT,0.0008137966247223627,0.018986949217641665
GLW,0.0004389479486825998,0.02095150815107917
CPAY,3.295387279522721e-05,0.022117856076497105
CTVA,0.0005794325878010209,0.021369281046696276
CSGP,0.00018013334167021888,0.022192628518879796
COST,0.0009443954015955214,0.015108545408717604
CTRA,0.0004773092126264533,0.024980116915933905
CRWD,0.0009604356049972562,0.0360448222445087
CCI,-4.946787407822395e-05,0.018722803266388352
CSX,0.0003813956827873888,0.018198821357786086
CMI,0.0006847358306925067,0.018525992154413747
CVS,6.430459815232048e-05,0.01839275191656745
DHR,0.0006137827625429804,0.01761740028571966
DRI,0.0003155828554666229,0.027780856424929442
DVA,0.000795915835201555,0.023480715294283708
DAY,3.5723846225632627e-06,0.029501661729583253
DECK,0.0014759575436191774,0.027352456865247517
DE,0.0007738719451273468,0.020791139606978978
DELL,0.0012019586991223186,0.02691719234780505
DAL,-0.000241774267002004,0.030686084452414372
DVN,0.000794256690349826,0.037627067672044906
DXCM,0.00038521484363829295,0.03306240829692325
FANG,0.0007261864939913654,0.03870203633939227
DLR,0.0002934867410424591,0.02006562564797425
DFS,0.0005265121858244459,0.031095145751833825
DG,-0.0004503657548319273,0.021953826144691678
DLTR,-0.00014332838078889854,0.024170412630352717
D,-8.749785065298443e-05,0.017671197229488973
DPZ,0.0005195120897156791,0.020465387164840743
DOV,0.0005882665282852528,0.018619352908585508
DOW,0.0003815594462186489,0.02302630804181967
DHI,0.0010981871756288175,0.025699899626581982
DTE,0.00023033102492564517,0.017279927898278084
DUK,0.00031983674129709705,0.015392879956176362
DD,0.00023721249918540188,0.021694851934353842
EMN,0.00048187757580664403,0.021964506707265893
ETN,0.001127245549104261,0.020474706767754744
EBAY,0.00036293991453062446,0.020647439945759148
ECL,0.00019592011903735163,0.019414146721130586
EIX,0.0003159858699115503,0.018203402848898154
EW,-4.2271235179081046e-05,0.023646011306949287
EA,0.00039354142364822486,0.016391920631957723
ELV,0.0006431554953463259,0.0206833136895266
EMR,0.0005391877973899284,0.020485454802764796
ENPH,0.0011208587227669042,0.04763907328242487
ETR,0.00019987546015465263,0.01773758956845634
EOG,0.0006327851620251401,0.030312010989798615
EPAM,4.017467925820917e-05,0.03664862907734046
EQT,0.0009927867765116005,0.0360295229208229
EFX,0.0006112152133708193,0.021113222491503224
EQIX,0.0003778938133187637,0.01939447847688025
EQR,4.01443114901312e-05,0.01897245100927825
ERIE,0.00074115088427118,0.020287842349722442
ESS,7.67826332208621e-05,0.019518706090090553
EL,-0.000580978789835207,0.023824994670163666
EG,0.0004917487171960389,0.02001752799869561
EVRG,7.333693069888625e-05,0.017869571036426047
ES,-1.816389221664938e-05,0.01796582873148125
