,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-08-30,50.49652099609375,179.3224639892578,88.81449890136719,112.23633575439453,359.8366394042969,106.17774963378906,155.38021850585938,40.058624267578125,94.28721618652344,135.374755859375,32.91002655029297,180.29928588867188,200.58790588378906,148.43458557128906,102.28239440917969,41.59107971191406,111.85658264160156,94.89940643310547,46.800758361816406,194.06727600097656,110.1078872680664,70.41007232666016,131.67697143554688,79.97567749023438,106.21654510498047,130.52752685546875,216.39767456054688,174.584228515625,44.36808395385742,35.255428314208984
2019-09-03,49.76109313964844,176.6577911376953,89.49199676513672,109.65352630615234,350.2796325683594,104.42001342773438,152.05496215820312,39.7933235168457,93.12581634521484,134.43780517578125,32.269264221191406,175.9312744140625,197.20823669433594,147.45175170898438,101.20317840576172,41.213844299316406,112.18773651123047,93.77644348144531,47.021846771240234,193.3194122314453,108.0108642578125,70.556640625,129.93858337402344,80.13656616210938,107.21482849121094,131.06930541992188,213.27188110351562,173.0200653076172,44.276546478271484,35.37267303466797
2019-09-04,50.60536193847656,177.34547424316406,90.03099822998047,110.39945983886719,352.3649597167969,106.26697540283203,151.7861785888672,40.495059967041016,93.9107666015625,135.99610900878906,32.84054183959961,178.37173461914062,198.4833526611328,150.70680236816406,102.87857055664062,42.915740966796875,112.29228973388672,94.90805053710938,47.42148208618164,194.53916931152344,108.9844741821289,70.06806945800781,131.45729064941406,81.72662353515625,108.84920501708984,133.36973571777344,209.6745147705078,175.50144958496094,44.38335418701172,35.7645378112793
2019-09-05,51.59477996826172,178.48866271972656,92.03600311279297,112.51605987548828,356.0909118652344,109.73782348632812,153.0903778076172,41.43642044067383,94.22313690185547,136.93304443359375,33.473575592041016,183.07571411132812,202.0253448486328,153.61927795410156,106.38786315917969,43.95090866088867,112.04830932617188,97.06761169433594,46.86879348754883,195.42059326171875,111.81684875488281,70.1087875366211,133.7687225341797,83.68578338623047,108.45166015625,134.7730712890625,212.3193817138672,178.35934448242188,44.69611358642578,35.61952590942383
2019-09-06,51.58993911743164,178.55740356445312,91.67549896240234,112.0684814453125,358.7593688964844,109.47908782958984,150.40231323242188,41.79582595825195,94.7197036743164,137.63331604003906,33.38093948364258,183.2172088623047,204.66407775878906,154.33157348632812,106.08599853515625,44.670265197753906,111.72587585449219,97.2749252319336,46.96232604980469,195.9013671875,111.619384765625,70.49150848388672,132.861328125,83.94133758544922,108.54883575439453,135.7500457763672,211.7737579345703,179.3345184326172,45.05466842651367,35.40044403076172
2019-09-09,51.81006622314453,173.9243621826172,91.56749725341797,111.81673431396484,354.5886535644531,113.5387954711914,148.87905883789062,41.573333740234375,95.62477111816406,136.92318725585938,34.3150520324707,187.43487548828125,206.20481872558594,152.97906494140625,107.61800384521484,45.25802993774414,110.62786102294922,99.68498229980469,46.35860061645508,193.43511962890625,112.98110961914062,67.96723937988281,131.35220336914062,83.92239379882812,107.930419921875,133.25865173339844,213.32737731933594,175.2889862060547,44.74951934814453,35.894134521484375
2019-09-10,52.42211151123047,169.2225799560547,91.02749633789062,109.38310241699219,365.1735534667969,116.25122833251953,148.98858642578125,42.11246871948242,97.59512329101562,133.92494201660156,35.758670806884766,190.66224670410156,206.3199920654297,152.93397521972656,109.46699523925781,45.459808349609375,112.8935775756836,100.9548110961914,46.25657653808594,186.68634033203125,114.9692153930664,66.51783752441406,129.97679138183594,82.18091583251953,105.9073257446289,130.8833465576172,214.97349548339844,170.2683868408203,45.5505256652832,35.807735443115234
2019-09-11,54.08888244628906,168.33721923828125,91.14949798583984,110.0264663696289,378.4664306640625,118.74954223632812,153.40896606445312,42.81418991088867,97.1385726928711,134.3194580078125,36.19099807739258,191.69680786132812,206.0188751220703,154.43978881835938,108.37268829345703,46.310752868652344,114.30529022216797,101.2312240600586,46.57117462158203,187.14932250976562,114.4381103515625,67.5194091796875,130.0149688720703,82.10517883300781,107.13529205322266,130.5797119140625,216.59182739257812,168.9456024169922,45.870933532714844,35.79848098754883
2019-09-12,53.96791458129883,166.75558471679688,92.17749786376953,110.97754669189453,371.2418518066406,117.55392456054688,154.0660400390625,42.72862243652344,97.2507095336914,135.6114501953125,36.260467529296875,193.41213989257812,207.0283660888672,152.0503387451172,108.38777923583984,46.503753662109375,113.66043853759766,101.85319519042969,46.86028289794922,188.885498046875,116.14027404785156,67.83697509765625,131.35220336914062,82.97594451904297,108.46049499511719,132.4281768798828,212.7910614013672,171.84217834472656,46.09978485107422,36.0761833190918
2019-09-13,52.91803741455078,168.0191650390625,91.96700286865234,111.1453857421875,375.3235778808594,119.36521911621094,152.30386352539062,42.81418991088867,97.31477355957031,136.1243133544922,37.210025787353516,194.4377899169922,207.187744140625,151.22079467773438,108.42552947998047,46.091434478759766,113.96543884277344,103.85723114013672,46.474849700927734,186.80209350585938,116.72584533691406,67.71403503417969,131.16122436523438,82.64469146728516,107.88623809814453,130.65121459960938,217.05577087402344,171.15660095214844,45.741241455078125,36.23353958129883
